text,target,has_number,has_rating_number,bert_text,final_text_enriched,text_length,n_tokens,sentiment
"judging from previous posts this used to be a good place , but not any longer .",0.0,False,False,"judging from previous posts this used to be a good place , but not any longer .",judge previous post use good place long,39,7,0.4404
"we , there were four of us , arrived at noon - the place was empty - and the staff acted like we were imposing on them and they were very rude .",0.0,False,False,"we , there were four of us , arrived at noon - the place was empty - and the staff acted like we were imposing on them and they were very rude .",four arrive noon place empty staff act like impose rude,55,10,-0.5423
"they never brought us complimentary noodles , ignored repeated requests for sugar , and threw our dishes on the table .",0.0,False,False,"they never brought us complimentary noodles , ignored repeated requests for sugar , and threw our dishes on the table .",never bring complimentary noodle ignore repeat request sugar throw dish table,77,11,-0.6002
the food was lousy - too sweet or too salty and the portions tiny .,0.0,False,False,the food was lousy - too sweet or too salty and the portions tiny .,food lousy sweet salty portion tiny,35,6,-0.128
"after all that , they complained to me about the small tip .",0.0,False,False,"after all that , they complained to me about the small tip .",complain I small tip,20,4,-0.3612
avoid this place !,0.0,False,False,avoid this place !,avoid place !,13,3,-0.3595
"i have eaten at saul , many times , the food is always consistently , outrageously good .",1.0,False,False,"i have eaten at saul , many times , the food is always consistently , outrageously good .",I eat saul many time food always consistently outrageously good,63,10,0.1779
saul is the best restaurant on smith street and in brooklyn .,1.0,False,False,saul is the best restaurant on smith street and in brooklyn .,saul good_restaurant smith_street brooklyn,42,4,0.4404
the duck confit is always amazing and the foie gras terrine with figs was out of this world .,1.0,False,False,the duck confit is always amazing and the foie gras terrine with figs was out of this world .,duck confit always amazing foie gras terrine fig world,54,9,0.5859
the wine list is interesting and has many good values .,1.0,False,False,the wine list is interesting and has many good values .,wine_list interesting many good value,37,5,0.7906
"for the price , you can not eat this well in manhattan .",1.0,False,False,"for the price , you can not eat this well in manhattan .",price eat well manhattan,24,4,0.2732
i was very disappointed with this restaurant .,0.0,False,False,i was very disappointed with this restaurant .,I disappointed restaurant,25,3,-0.4767
ive asked a cart attendant for a lotus leaf wrapped rice and she replied back rice and just walked away .,0.0,False,False,ive asked a cart attendant for a lotus leaf wrapped rice and she replied back rice and just walked away .,I ask cart attendant lotus leaf wrap rice reply back rice walk away,67,13,0.0
i had to ask her three times before she finally came back with the dish ive requested .,0.0,False,False,i had to ask her three times before she finally came back with the dish ive requested .,I ask three time finally come_back dish I request,49,9,0.0
chow fun was dry ; pork shu mai was more than usually greasy and had to share a table with loud and rude family .,0.0,False,False,chow fun was dry ; pork shu mai was more than usually greasy and had to share a table with loud and rude family .,chow_fun dry pork shu mai usually greasy share table loud rude family,69,12,0.3612
i / we will never go back to this place again .,0.0,False,False,i / we will never go back to this place again .,I never_go_back,21,2,0.0
"went on a 3 day oyster binge , with fish bringing up the closing , and i am so glad this was the place it o trip ended , because it was so great !",1.0,True,False,"went on a 3 day oyster binge , with fish bringing up the closing , and i am so glad this was the place it o trip ended , because it was so great !",go day oyster binge fish bring closing I glad place trip end great !,68,14,0.8122
"service was devine , oysters where a sensual as they come , and the price ca n ' t be beat ! ! !",1.0,False,False,"service was devine , oysters where a sensual as they come , and the price ca n ' t be beat ! ! !",service devine oyster sensual come price n beat ! ! !,53,11,0.0
you ca n ' t go wrong here .,1.0,False,False,you ca n ' t go wrong here .,n go_wrong,10,2,-0.4767
every time in new york i make it a point to visit restaurant saul on smith street .,1.0,False,False,every time in new york i make it a point to visit restaurant saul on smith street .,every time new_york I make_point visit restaurant saul smith_street,67,9,0.0
"everything is always cooked to perfection , the service is excellent , the decor cool and understated .",1.0,False,False,"everything is always cooked to perfection , the service is excellent , the decor cool and understated .",everything always cook perfection great_service decor cool understate,73,8,0.8658
i had the duck breast special on my last visit and it was incredible .,1.0,False,False,i had the duck breast special on my last visit and it was incredible .,I duck breast special last visit incredible,43,7,0.4019
and i hate to say this but i doubt i ' ll ever go back .,0.0,False,False,and i hate to say this but i doubt i ' ll ever go back .,I hate say I doubt I dont_go_back,33,7,-0.7351
"the food is very average . . . the thai fusion stuff is a bit too sweet , every thing they serve is too sweet here .",0.0,False,False,"the food is very average . . . the thai fusion stuff is a bit too sweet , every thing they serve is too sweet here .",food_average thai fusion stuff bit sweet every thing serve sweet,64,10,0.7184
the only thing i moderately enjoyed was their grilled chicken special with edamame puree .,0.0,False,False,the only thing i moderately enjoyed was their grilled chicken special with edamame puree .,thing I moderately enjoy grill chicken special edamame puree,60,9,0.7096
i had never had edamame pureed before but i thought it was innovative and tasty ( could ' ve used a bit more salt ) .,1.0,False,False,i had never had edamame pureed before but i thought it was innovative and tasty ( could ' ve used a bit more salt ) .,I never edamame pureed I think innovative tasty could use bit salt,66,12,0.4404
"the decor is night tho . . . but they really need to clean that vent in the ceiling . . . its quite un - appetizing , and kills your effort to make this place look sleek and modern .",0.0,False,False,"the decor is night tho . . . but they really need to clean that vent in the ceiling . . . its quite un - appetizing , and kills your effort to make this place look sleek and modern .",decor night tho really need clean vent ceiling quite un appetizing kill effort make place look sleek modern,107,18,-0.4562
we went around 9 : 30 on a friday and it had died down a bit by then so the service was great !,1.0,True,False,we went around 9 : 30 on a friday and it had died down a bit by then so the service was great !,go around friday die bit great_service !,40,7,0.126
the perfect spot .,1.0,False,False,the perfect spot .,perfect spot,12,2,0.5719
food - awesome .,1.0,False,False,food - awesome .,food awesome,12,2,0.6249
service - friendly and attentive .,1.0,False,False,service - friendly and attentive .,service friendly attentive,26,3,0.4939
ambiance - relaxed and stylish .,1.0,False,False,ambiance - relaxed and stylish .,ambiance relaxed stylish,24,3,0.4939
"do n ' t judge this place prima facie , you have to try it to believe it , a home away from home for the literate heart .",1.0,False,False,"do n ' t judge this place prima facie , you have to try it to believe it , a home away from home for the literate heart .",n judge place prima facie try believe home away home literate heart,67,12,0.0
"however , it ' s the service that leaves a bad taste in my mouth .",0.0,False,False,"however , it ' s the service that leaves a bad taste in my mouth .",however service leave bad taste mouth,37,6,-0.5719
"i happen to have a policy that goes along with a little bit of self - respect , which includes not letting a waiter intimidate me , i . e . make me feel bad asking for trivialities like water , or the check .",0.0,False,False,"i happen to have a policy that goes along with a little bit of self - respect , which includes not letting a waiter intimidate me , i . e . make me feel bad asking for trivialities like water , or the check .",I happen policy go along little bit self respect include let waiter intimidate I I e make I feel bad ask triviality like water check,132,25,-0.1189
"i know , you were too busy showing off your vintage tee shirt and looking bored , but my agenda is i ' m here to eat and enjoy the company of friends , seeking a pleasant experience .",0.0,False,False,"i know , you were too busy showing off your vintage tee shirt and looking bored , but my agenda is i ' m here to eat and enjoy the company of friends , seeking a pleasant experience .",I know busy show vintage tee shirt look bored agenda I eat enjoy company friend seek pleasant experience,104,18,0.8225
"well , i did n ' t find it there , and trust , i have told everyone i can think of about my experience .",0.0,False,False,"well , i did n ' t find it there , and trust , i have told everyone i can think of about my experience .",well I n find trust I tell everyone I think experience,54,11,0.6597
i had a great experience .,1.0,False,False,i had a great experience .,I great experience,18,3,0.6249
food is great .,1.0,False,False,food is great .,great_food,10,1,0.6249
service is top notch .,1.0,False,False,service is top notch .,great_service notch,17,2,0.2023
i have been going back again and again .,1.0,False,False,i have been going back again and again .,I go_back,9,2,0.0
"it melted in my little mouth and the perfect consistency - not too fishy , creamy , and slightly buttery .",1.0,False,False,"it melted in my little mouth and the perfect consistency - not too fishy , creamy , and slightly buttery .",melt little mouth perfect consistency fishy creamy slightly buttery,67,9,0.5302
the sushi seemed pretty fresh and was adequately proportioned .,1.0,False,False,the sushi seemed pretty fresh and was adequately proportioned .,sushi seem pretty fresh adequately proportion,45,6,0.6705
the rice to fish ration was also good - - they did n ' t try to overpack the rice .,1.0,False,False,the rice to fish ration was also good - - they did n ' t try to overpack the rice .,rice fish ration also good n try overpack rice,46,9,0.4404
we took advanatage of the half price sushi deal on saturday so it was well worth it .,1.0,False,False,we took advanatage of the half price sushi deal on saturday so it was well worth it .,take advanatage half price sushi deal saturday well worth,57,9,0.4588
