text,target,has_number,has_rating_number,final_text,bert_text
"judging from previous posts this used to be a good place , but not any longer .",0.0,False,False,judge previous post use good place long,"judging from previous posts this used to be a good place , but not any longer ."
"we , there were four of us , arrived at noon - the place was empty - and the staff acted like we were imposing on them and they were very rude .",0.0,False,False,four arrive noon place empty staff act like impose rude,"we , there were four of us , arrived at noon - the place was empty - and the staff acted like we were imposing on them and they were very rude ."
"they never brought us complimentary noodles , ignored repeated requests for sugar , and threw our dishes on the table .",0.0,False,False,never bring complimentary noodle ignore repeat request sugar throw dish table,"they never brought us complimentary noodles , ignored repeated requests for sugar , and threw our dishes on the table ."
the food was lousy - too sweet or too salty and the portions tiny .,0.0,False,False,food lousy sweet salty portion tiny,the food was lousy - too sweet or too salty and the portions tiny .
"after all that , they complained to me about the small tip .",0.0,False,False,complain I small tip,"after all that , they complained to me about the small tip ."
avoid this place !,0.0,False,False,avoid place !,avoid this place !
"i have eaten at saul , many times , the food is always consistently , outrageously good .",1.0,False,False,I eat saul many time food always consistently outrageously good,"i have eaten at saul , many times , the food is always consistently , outrageously good ."
saul is the best restaurant on smith street and in brooklyn .,1.0,False,False,saul good restaurant smith street brooklyn,saul is the best restaurant on smith street and in brooklyn .
the duck confit is always amazing and the foie gras terrine with figs was out of this world .,1.0,False,False,duck confit always amazing foie gras terrine fig world,the duck confit is always amazing and the foie gras terrine with figs was out of this world .
the wine list is interesting and has many good values .,1.0,False,False,wine list interesting many good value,the wine list is interesting and has many good values .
"for the price , you can not eat this well in manhattan .",1.0,False,False,price eat well manhattan,"for the price , you can not eat this well in manhattan ."
i was very disappointed with this restaurant .,0.0,False,False,I disappointed restaurant,i was very disappointed with this restaurant .
ive asked a cart attendant for a lotus leaf wrapped rice and she replied back rice and just walked away .,0.0,False,False,I ask cart attendant lotus leaf wrap rice reply back rice walk away,ive asked a cart attendant for a lotus leaf wrapped rice and she replied back rice and just walked away .
i had to ask her three times before she finally came back with the dish ive requested .,0.0,False,False,I ask three time finally come back dish I request,i had to ask her three times before she finally came back with the dish ive requested .
chow fun was dry ; pork shu mai was more than usually greasy and had to share a table with loud and rude family .,0.0,False,False,chow fun dry pork shu mai usually greasy share table loud rude family,chow fun was dry ; pork shu mai was more than usually greasy and had to share a table with loud and rude family .
i / we will never go back to this place again .,0.0,False,False,I never go back place,i / we will never go back to this place again .
"went on a 3 day oyster binge , with fish bringing up the closing , and i am so glad this was the place it o trip ended , because it was so great !",1.0,True,False,go day oyster binge fish bring closing I glad place trip end great !,"went on a 3 day oyster binge , with fish bringing up the closing , and i am so glad this was the place it o trip ended , because it was so great !"
"service was devine , oysters where a sensual as they come , and the price ca n ' t be beat ! ! !",1.0,False,False,service devine oyster sensual come price n beat ! ! !,"service was devine , oysters where a sensual as they come , and the price ca n ' t be beat ! ! !"
you ca n ' t go wrong here .,1.0,False,False,n go wrong,you ca n ' t go wrong here .
every time in new york i make it a point to visit restaurant saul on smith street .,1.0,False,False,every time new york I make point visit restaurant saul smith street,every time in new york i make it a point to visit restaurant saul on smith street .
"everything is always cooked to perfection , the service is excellent , the decor cool and understated .",1.0,False,False,everything always cook perfection service excellent decor cool understate,"everything is always cooked to perfection , the service is excellent , the decor cool and understated ."
i had the duck breast special on my last visit and it was incredible .,1.0,False,False,I duck breast special last visit incredible,i had the duck breast special on my last visit and it was incredible .
and i hate to say this but i doubt i ' ll ever go back .,0.0,False,False,I hate say I doubt I ever go back,and i hate to say this but i doubt i ' ll ever go back .
"the food is very average . . . the thai fusion stuff is a bit too sweet , every thing they serve is too sweet here .",0.0,False,False,food average thai fusion stuff bit sweet every thing serve sweet,"the food is very average . . . the thai fusion stuff is a bit too sweet , every thing they serve is too sweet here ."
the only thing i moderately enjoyed was their grilled chicken special with edamame puree .,0.0,False,False,thing I moderately enjoy grill chicken special edamame puree,the only thing i moderately enjoyed was their grilled chicken special with edamame puree .
i had never had edamame pureed before but i thought it was innovative and tasty ( could ' ve used a bit more salt ) .,1.0,False,False,I never edamame pureed I think innovative tasty could use bit salt,i had never had edamame pureed before but i thought it was innovative and tasty ( could ' ve used a bit more salt ) .
"the decor is night tho . . . but they really need to clean that vent in the ceiling . . . its quite un - appetizing , and kills your effort to make this place look sleek and modern .",0.0,False,False,decor night tho really need clean vent ceiling quite un appetizing kill effort make place look sleek modern,"the decor is night tho . . . but they really need to clean that vent in the ceiling . . . its quite un - appetizing , and kills your effort to make this place look sleek and modern ."
we went around 9 : 30 on a friday and it had died down a bit by then so the service was great !,1.0,True,False,go around friday die bit service great !,we went around 9 : 30 on a friday and it had died down a bit by then so the service was great !
the perfect spot .,1.0,False,False,perfect spot,the perfect spot .
food - awesome .,1.0,False,False,food awesome,food - awesome .
service - friendly and attentive .,1.0,False,False,service friendly attentive,service - friendly and attentive .
ambiance - relaxed and stylish .,1.0,False,False,ambiance relaxed stylish,ambiance - relaxed and stylish .
"do n ' t judge this place prima facie , you have to try it to believe it , a home away from home for the literate heart .",1.0,False,False,n judge place prima facie try believe home away home literate heart,"do n ' t judge this place prima facie , you have to try it to believe it , a home away from home for the literate heart ."
"however , it ' s the service that leaves a bad taste in my mouth .",0.0,False,False,however service leave bad taste mouth,"however , it ' s the service that leaves a bad taste in my mouth ."
"i happen to have a policy that goes along with a little bit of self - respect , which includes not letting a waiter intimidate me , i . e . make me feel bad asking for trivialities like water , or the check .",0.0,False,False,I happen policy go along little bit self respect include let waiter intimidate I I e make I feel bad ask triviality like water check,"i happen to have a policy that goes along with a little bit of self - respect , which includes not letting a waiter intimidate me , i . e . make me feel bad asking for trivialities like water , or the check ."
