text,prediction
The pizza was really good .,1.0
Knowledge of the chef and the waitress are below average .,0.0
The service was ok .,1.0
I 'm happy to have Nosh in the neighborhood and the food is very comforting .,1.0
Indoor was very cozy and cute .,1.0
Ballato 's is consistently delicious authentic italian food .,1.0
"While the room is not particularly comfortable , once you 're seated you 'll forget about everything except what 's on your plate .",0.0
The dim sum however was very good .,1.0
"We have never had any problems with charging the meal or the tip , and the food was delivered quickly , but we live only a few minutes walk from them .",1.0
Spreads and toppings are great - though a bit pricey .,1.0
"I 've eaten thai many times , and am very familiar with the cuisine .",1.0
The food is authentic Italian - delicious !,1.0
I recently went to this restaurant with some co-workers for lunch and had an amazing time .,1.0
"It 's constantly open , catering to the Pakistani cabbies lined up on Crosby St. , so there 's more turnover with the food than you 'd expect ( i.e. , surprisingly fresh ) .",1.0
"Great vibe , lots of people .",1.0
"The cuisine from what I 've gathered is authentic Taiwanese , though its very different from what I 've been accustomed to in Taipei .",0.0
"Always a nice crowd , but never loud .",1.0
"Besides having the table we had been promised given to other restaurant patrons twice before we were actually seated , we were served dishes we had n't ordered three times , received one of our orders 20 minutes after the rest of the table had been served ( and that order was undercooked ) , and charged $ 45 more than we should have been on our bill .",0.0
The bartender on my most recent visit was so incredibly rude that I will never go back .,0.0
The strong scents coming from the left and right of me negatively affected my taste buds .,0.0
"The chicken and steak were seasoned and cooked to perfection , and the lamb sandwhich is great for heartier appetites .",1.0
The restaurant is rather small but we were lucky to get a table quickly .,1.0
"at taj , vegetarians can rejoice-all the dishes are manna from heaven .",1.0
Kosher dills are the perfect compliment for your unforgetable sandwich and they give you plenty of them .,1.0
Fish is so very fresh .,1.0
The lobster sandwich is $ 24 and although it was good it was not nearly enough to warrant that price .,0.0
"Largest and freshest pieces of sushi , and delicious !",1.0
I have been coming here for years and have nothing but good things to say about the service and the great staff at La Lanterna .,1.0
"The environment is romantic , but the food is horrible , the service is pathetic , and gabriella lies about everything she could .",0.0
This is the perfect date spot for Williamsburg couples .,1.0
"If I could rate the people this place would be off the charts - unfortunately - the pizza , sorry - not the best in NYC .",0.0
The lamb meat was under-cooked and EXTRMELY CHEWY .,0.0
"The pesto pizza was excellent , thin-crust pizza with a nice amount of spicy Italian cheese that I 'd never heard of before .",1.0
"The in-house lady DJ on Saturday nights has outrageously good taste in music , and moreover , takes requests .",1.0
"They are still living in the dark ages and do not have an answering machine , so if you want to make a reservation you are limited .",1.0
So all I 'm trying to say is this restaurant is by far the best thai food restaurant I 've ever been to .,1.0
"The last two times I ordered from here my food was soo spicy that I could barely eat it , and the spice took away from the flavor of the dish .",0.0
"The bruscetta is a bit soggy , but the salads were fresh , included a nice mix of greens ( not iceberg ) all dishes are served piping hot from the kitchen .",1.0
And at the conclusion of this culinary nightmare the check was given to our table by knocking over a glass of water .,0.0
"If you 're not familiar with the cuisine , you may encounter problems ordering here and be sure to bring plenty of cash with you as they do n't accept credit cards .",0.0
IT IS WHAT MODERN CUISINE IS ALL ABOUT .,1.0
"In fact , two people could really share one plate .",1.0
"Very excited to hear that short-term Chef Jason Narone has moved on , he truly was a low point of their Sterling track record .",1.0
"All the money went into the interior decoration , none of it went to the chefs .",0.0
"Besides , when you have bad service , that 's less money you have to tip .",0.0
And the fried clams had just enough kick to them to make 'em worth eating .,0.0
"So , a little inconsistency there but either way , both pizzas were really good .",1.0
"It costs $ 2 extra to turn a regular roll into an inside-out roll , but the roll more than triples in size , and that 's not just from the rice .",0.0
Pizza was a little soggy .,0.0
The staff was the friendliest that have seen in New York .,1.0
We began with the cheese fondue ( the artisanal blend ) and added apples and kielbasa to dip .,1.0
"The service was attentive , yet unimposing , the food was far better than many notorious restaurants in Midtown and the wine list is extensive and well priced .",1.0
"This is such a lovely , peaceful place to eat outside .",1.0
The quality of food at this restaurant accompanied by fantastic live jazz makes this place a perfect 10 !,1.0
"Ambience is delightful , service impeccable .",1.0
The pizza is delicious and the proprietor is one of the nicest in NYC .,1.0
The waiter was attentive .,1.0
"Late nite omelletes are not good here , there is no variety !",0.0
The entertainment was great they have shows that go on through out the dinner .,1.0
For those prices and the dressed up atmosphere you expect more and should get more .,1.0
And they provided a delicious dessert on the house !,1.0
"Do n't go alone -- -even two people is n't enough for the whole experience , with pickles and a selection of meats and seafoods .",1.0
"Having discovered Ping 's on the internet , we entered with qualms but were instantly put to ease by the fish tanks that greet you as u walk in .",1.0
Great value for the quality ingredients .,1.0
The bar has various selections and the mixed drink special is a catcher ! 2 for 1 's .,0.0
Fish was overdone .,0.0
Monday nights are a bargain at the $ 28 prix fix - this includes a three course meal plus *three* glasses of wine paired with each course .,0.0
"The kitchen however , is almost always slow .",0.0
Terrific menu full of unique rolls and special dishes .,1.0
"Great friendly service , Fast seating , Fast Delivery , Excellent sushi .",1.0
"I have had so many dinners here and it 's always been perfect - on a date with my husband , with my mom , with girlfriends and larger groups .",1.0
The atmosphere is great ! ! !,1.0
I live in the neighborhood and my friends meet me down here not only for the bar scene but also the promise of The Pizza Place at 3am .,1.0
Food is great and inexpensive .,1.0
My husband and I enjoyed each of the 6 taste size portions and left completely full .,1.0
Great pizza and fantastic service .,1.0
"Ambiance and music funky , which I enjoy .",1.0
We were a group of 8 and well seved .,1.0
The pizza was delivered cold and the cheese was n't even fully melted !,0.0
"Our favorite meal is a pesto pizza , the house salad , and a good bottle of wine .",1.0
"I highly recommend Cafe St. Bart 's for their food , the ambience and wonderful service .",1.0
Decor is charming .,1.0
"Saturday , Nov. 6th I had a group from work come in with about 35 people and the staff was amazing to accomodate us .",1.0
Great sushi experience .,1.0
A great way to make some money is to buy a case of snapple from Costco and sell it right outside for only $ 2.50 .,1.0
Best dish is nori-wrapped tuna .,1.0
And the food was fantastic .,1.0
"I like Mamoun 's food as well , but side by side , Kati Rolls just produce tastier food hands down .",1.0
"Even upon delivery , their juicy pork buns are quite good . .",1.0
"Even with a relatively inexpensive botle of wine , if you can call $ 70.00 inexpensive , the cost is through the roof for better than average fare .",1.0
I was pretty much full after our fondue appetizer .,1.0
But the thing that my wife and I hated was it was so loud and it felt like ' bar ' or ' pub ' .,0.0
